wanikani	word	reading	sense 1	sense 2	sense 3	url
5	肉	にく	flesh	meat	the physical body (as opposed to the spirit)	http://jisho.org/word/%E8%82%89
5	来年	らいねん	next year			http://jisho.org/word/%E6%9D%A5%E5%B9%B4
5	本当	ほんとう	truth, reality, actuality, fact	proper, right, correct, official	genuine, authentic, natural, veritable	http://jisho.org/word/%E6%9C%AC%E5%BD%93
5	池	いけ	pond	Pond		http://jisho.org/word/%E6%B1%A0
5	作文	さくぶん	writing (an essay, prose, etc.), composition	formal writing with little real meaning	Composition (language)	http://jisho.org/word/%E4%BD%9C%E6%96%87
5	自分	じぶん	myself, yourself, oneself, himself, herself	I, me	you	http://jisho.org/word/%E8%87%AA%E5%88%86
5	大学	だいがく	post-secondary education institution, incl. university, college, etc.	former central university of Kyoto (established under the ritsuryo system for the training of government administrators)	the Great Learning (one of the Four Books)	http://jisho.org/word/%E5%A4%A7%E5%AD%A6
5	来る	くる	to come (spatially or temporally), to approach, to arrive	to come back, to do ... and come back	to come to be, to become, to get, to grow, to continue	http://jisho.org/word/%E6%9D%A5%E3%82%8B
5	来月	らいげつ	next month			http://jisho.org/word/%E6%9D%A5%E6%9C%88
5	西	にし	west	West		http://jisho.org/word/%E8%A5%BF
5	多分	たぶん	perhaps, probably	generous, many, much, great		http://jisho.org/word/%E5%A4%9A%E5%88%86
5	何	なに	what	how many	you-know-what, that	http://jisho.org/word/%E4%BD%95
5	作る	つくる	to make, to produce, to manufacture, to build, to construct	to prepare (food), to brew (alcohol)	to raise, to grow, to cultivate, to train	http://jisho.org/word/%E4%BD%9C%E3%82%8B
5	雨	あめ	rain	Rain		http://jisho.org/word/%E9%9B%A8
5	多い	おおい	many, numerous			http://jisho.org/word/%E5%A4%9A%E3%81%84
5	毎月	まいつき	every month, each month, monthly			http://jisho.org/word/%E6%AF%8E%E6%9C%88
5	色	いろ	colour, color	complexion	appearance, look	http://jisho.org/word/%E8%89%B2
5	会う	あう	to meet, to encounter, to see	to have an accident, to have a bad experience		http://jisho.org/word/%E4%BC%9A%E3%81%86
5	空	そら	sky, the air, the heavens	weather	far-off place, distant place	http://jisho.org/word/%E7%A9%BA
5	青い	あおい	blue, green	pale	unripe, inexperienced	http://jisho.org/word/%E9%9D%92%E3%81%84
5	行く	いく	to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach	to proceed, to take place	to pass through, to come and go	http://jisho.org/word/%E8%A1%8C%E3%81%8F
5	同じ	おなじ	same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike	(usu. part of a 'nara' conditional) anyway, anyhow, in either case		http://jisho.org/word/%E5%90%8C%E3%81%98
5	毎日	まいにち	every day	Every Single Day (band)		http://jisho.org/word/%E6%AF%8E%E6%97%A5
5	色々	いろいろ	various	various colors (colours)		http://jisho.org/word/%E8%89%B2%E3%80%85
5	牛肉	ぎゅうにく	beef	Beef		http://jisho.org/word/%E7%89%9B%E8%82%89
5	男の子	おとこのこ	boy, male child, baby boy			http://jisho.org/word/%E7%94%B7%E3%81%AE%E5%AD%90
5	学生	がくせい	student (esp. a university student)			http://jisho.org/word/%E5%AD%A6%E7%94%9F
5	お金	おかね	money			http://jisho.org/word/%E3%81%8A%E9%87%91
5	近い	ちかい	near, close, short (distance)			http://jisho.org/word/%E8%BF%91%E3%81%84
5	体	からだ	body	torso, trunk	build, physique, constitution	http://jisho.org/word/%E4%BD%93
5	兄弟	きょうだい	siblings, brothers and sisters	brothers	siblings-in-law, brothers-in-law, sisters-in-law	http://jisho.org/word/%E5%85%84%E5%BC%9F
5	声	こえ	voice	Human voice		http://jisho.org/word/%E5%A3%B0
5	毎年	まいとし	every year, yearly, annually			http://jisho.org/word/%E6%AF%8E%E5%B9%B4
5	売る	うる	to sell			http://jisho.org/word/%E5%A3%B2%E3%82%8B
5	角	かど	corner (e.g. desk, pavement)	edge		http://jisho.org/word/%E8%A7%92
5	会社	かいしゃ	company, corporation	workplace	Company	http://jisho.org/word/%E4%BC%9A%E7%A4%BE
5	走る	はしる	to run	to travel (movement of vehicles), to drive	to hurry to	http://jisho.org/word/%E8%B5%B0%E3%82%8B
5	弟	おとうと	younger brother, little brother, kid brother	pupil, apprentice		http://jisho.org/word/%E5%BC%9F
